,Tank:,Name:,Score:,Proof:,Gamemode,Special? (TBR)
,Cyclone,Chris3773,3500850,https://imgur.com/gallery/a2pXCFC,2TDM,TBR
,Beekeeper,Chris3773,3536563,https://imgur.com/gallery/cMrDgQ2,2TDM,TBR
,Mega-3,Chris3773,2041788,https://imgur.com/gallery/aQSdrQ8,Maze 2TDM,TBR
,Auto Overseer,Chris3773,7105063,https://imgur.com/gallery/sDl4fwW,2TDM,TBR
,Shotgun,ExC,8523960,https://media.discordapp.net/attachments/1146076487875821578/1149111728546779206/image.png,2TDM,TBR
,Overlord,Marcus,14076885,https://cdn.discordapp.com/attachments/1146204878331461642/1150402565029232702/screenshot_-_2023-09-10T140844.463.png,4TDM,TBR
,Commander,Chris3773,11600008,https://imgur.com/gallery/juN6tqq,2TDM,TBR
,Banshee,cyan,10019396,https://cdn.discordapp.com/attachments/866023322529955870/1153712845284974592/screenshot_-_2023-09-19T215349.963.png,2TDM,TBR
,Manager,zo,15117515,https://cdn.discordapp.com/attachments/866023322529955870/1153544609939603466/screenshot_-_2023-09-18T221037.067.png,2TDM,TBR
,Hybrid,🌷|retnuH,6002144,https://cdn.discordapp.com/attachments/866023322529955870/1152574675797430382/screenshot_-_2023-09-16T145734.016.png,2TDM,TBR
,Overlord,Chris3773,6008059,https://cdn.discordapp.com/attachments/866023322529955870/1152059272964878486/screenshot_-_2023-09-14T205033.027.png,2TDM,TBR
,Destroyer,Smiley,6903582,https://imgur.com/a/bUsh3es,2TDM,TBR
,Auto Tri-Angle,noscore,5030228,https://cdn.discordapp.com/attachments/1146072196117180527/1155100260511789117/screenshot_56.png?ex=652a7872&is=65180372&hm=7f3e8a13a428abdb54e6bd0ffce95e093b959401614242713950564dafe2437a&,2TDM,TBR
,Overdrive,noscore,6025957,https://cdn.discordapp.com/attachments/1146072196117180527/1150924375365795860/screenshot_42.png?ex=652dbc5a&is=651b475a&hm=ab2ab94d15a088e07e2f6aefc282444dd7960f96563ae8317be5736df438282f&,2TDM,TBR
