,Tank,Name,Score,Proof,Gamemode,Info,Build,,,,,,,,,,Date of Death,Server
,TOP 250 Scores,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Auto Overseer,noscore,10440114,https://cdn.discordapp.com/attachments/866023322529955870/1107253745466757151/screenshot_-_2023-05-14T152604.008.png,2TDM,,2,2,9,7,6,8,1,7,0,0,14th May 2023,ASIA
,Swarmer,Tophat el LaTaTa,10342688,https://cdn.discordapp.com/attachments/962519532872818719/1144124899628154930/Screenshot_2023-08-16_10.18.29_PM.png,2TDM,,2,3,4,7,5,8,5,8,0,0,17th August 2023,USA
,Auto Cruiser,Slade,10334542,https://cdn.discordapp.com/attachments/1093983574065156216/1106673417345835109/unknown.png,4TDM,,2,2,5,7,7,7,6,6,0,0,26th September 2022,USA
,Overgunner,Skrialik,10312388,https://cdn.discordapp.com/attachments/1066451260611506236/1102003416068276355/screenshot_-_2023-04-29T184128.645.png,2TDM,,2,3,7,7,6,8,3,6,0,0,29th April 2023,EUROPE
,Bushwhacker,Skrialik,10306354,https://imgur.com/a/MIQdcL5,4TDM,,1,2,4,7,8,7,7,6,0,0,4th March 2021,USA
,Overlord,ASkib,10279160,https://imgur.com/a/D5h8xQi,2TDM,,2,3,7,7,8,7,1,7,0,0,7th June 2022,ASIA
,Auto Builder,ια,10261698,https://imgur.com/a/bfBLciK,2TDM,,3,4,6,5,6,6,3,9,0,0,2nd January 2023,USA
,Overseer,byekc,10240666,https://cdn.discordapp.com/attachments/1044131085463851028/1076534086354620416/image.png,2TDM,,2,3,9,7,7,7,1,6,0,0,18th February 2023,EUROPE
,Overlord,ια,10220360,https://www.youtube.com/watch?v=hJLJHmGx9hQ,2TDM,,3,3,7,7,7,7,1,7,0,0,/,USA
,Penta Shot,Chris3773,10216461,https://cdn.discordapp.com/attachments/928174021592383489/1137346623836540999/screenshot_-_2023-08-04T180103.942.png,2TDM,TBR,2,2,4,7,7,7,8,5,0,0,4th August 2023,USA
,Overgunner,Corrupt X,10191662,https://ibb.co/album/S4pcLJ,4TDM,,4,4,6,6,6,6,5,4,1,0,17th February 2021,EUROPE
,Penta Shot,Rog456,10176264,https://imgur.com/a/KYyLnDz,4TDM,,2,3,4,7,7,7,7,5,0,0,20th January 2023,USA
,Auto Spawner,Slade,10147081,https://cdn.discordapp.com/attachments/928174021592383489/1141208541294768208/screenshot_-_2023-08-15T231358.256.png,Maze 2TDM,TBR,2,3,4,8,5,8,6,6,0,0,16th August 2023,USA
,Auto Overseer,Lamp,10143869,https://imgur.com/a/ODpToNM,2TDM,,2,2,9,7,7,7,1,7,0,0,22nd March 2023,USA
,Overlord,ZeZo,10128996,https://imgur.com/a/BGPFnww,4TDM,,1,4,7,7,7,7,0,7,2,0,11th June 2020,EUROPE
,Hybrid,Thing,10115816,https://imgur.com/a/TXNseEF,2TDM,,2,2,8,7,6,6,2,8,1,0,6th June 2020,USA
,Auto Assassin,Awootube,10114098,https://imgur.com/a/2nx5L2W,2TDM,,2,2,5,7,7,7,6,6,0,0,11th March 2023,USA
,Auto Assassin,Corrupt Y,10102087,https://cdn.discordapp.com/attachments/866023322529955870/1037903160318119996/unknown.png,2TDM,,2,2,5,6,7,7,5,8,0,0,4th November 2022,USA
,Manager,Nyrox,10100386,https://imgur.com/a/0wjdGvs,4TDM,,2,3,7,7,7,7,2,7,0,0,16th April 2022,EUROPE
,Fighter,Stradpult,10070753,https://imgur.com/gallery/uljVxNX,FFA,Legacy,2,2,2,7,8,8,7,6,0,0,8th May 2019,EUROPE
,Overtrapper,Ö.,10065712,https://imgur.com/a/ndpbcEb,Maze 2TDM,,2,3,8,7,7,7,2,6,0,0,27th March 2023,EUROPE
,Overlord,noscore,10062282,https://cdn.discordapp.com/attachments/866023322529955870/1098156128078143538/screenshot_-_2023-04-19T125832.471.png,2TDM,,2,2,9,7,7,7,1,7,0,0,19th April 2023,ASIA
,Ranger,Slade,10059466,https://cdn.discordapp.com/attachments/866023322529955870/896235033591967794/screenshot_-_2021-10-08T231624.254.png,4TDM,,2,2,4,7,8,7,6,6,0,0,8th October 2021,USA
,Overlord,Jess,10038902,https://cdn.discordapp.com/attachments/856614995802325032/1097349236338728970/screenshot_-_2023-04-16T223236.669.png,4TDM,,2,2,9,7,7,7,1,7,0,0,17th April 2023,USA
,Carrier,Jess,10038528,https://cdn.discordapp.com/attachments/928174021592383489/1127078236749312040/screenshot54.png,4TDM,TBR,2,2,5,7,7,7,6,6,0,0,8th July 2023,USA
,Overlord,Salla,10037643,https://cdn.discordapp.com/attachments/1110695177498144872/1111235959120461885/ol_pm4_lastscore.png,Portal TDM,,2,2,7,7,6,7,3,7,1,0,25th May 2023,USA
,Overlord,Colon,10035502,https://cdn.discordapp.com/attachments/1089763071788072980/1129791314020552804/screenshot_-_2023-07-15T061327.png,2TDM,,2,2,9,7,6,8,1,7,0,0,15th July 2023,EUROPE
,Streamliner,Thing,10023367,https://imgur.com/a/c8e7R3d,4TDM,,,,,,,,,,,,,
,Manager,ια,10022818,https://cdn.discordapp.com/attachments/928174021592383489/1142342051107713154/screenshot_-_2023-08-18T231603.628.png,2TDM,,2,2,9,8,5,8,2,6,0,0,19th August 2023,USA
,Overlord,Marcus,10020000,https://cdn.discordapp.com/attachments/559793341143711767/1116115305358426173/marcus10moverlordproof.png,4TDM,,,,,,,,,,,,,
,Underseer,Corrupt Y,10015851,https://cdn.discordapp.com/attachments/928174021592383489/1147683639736418334/image.png,2TDM,TBR,2,2,9,7,7,7,0,8,0,0,3rd September 2023,USA
,Ordnance,Para,10014240,https://cdn.discordapp.com/attachments/1070469925765926952/1086529767156756541/screenshot_-_2023-03-18T000119.479.png,2TDM,,,,,,,,,,,,,
,Crossbow,bum,10011112,https://imgur.com/a/svSdvVH,2TDM,,2,2,4,7,8,7,6,6,0,0,4th October 2022,EUROPE
,Overseer,Harry,10010810,https://cdn.discordapp.com/attachments/867893054689247252/1118450232380899358/screenshot_-_2023-05-28T214114.png,2TDM,TBR,,,,,,,,,,,,
,Overlord,Smiley,10009654,https://imgur.com/a/diNokDG,2TDM,,2,3,7,7,7,7,1,8,0,0,1st August 2022,EUROPE
,Machine Gunner,Mr.Hacker YT,10008164,https://cdn.discordapp.com/attachments/928174021592383489/1144031021646483527/screenshot_-_2023-08-23T150754.258.png,4TDM,TBR,,,,,,,,,,,,
,Auto Overseer,Mr.Hacker YT,10006325,https://cdn.discordapp.com/attachments/1146049737494114356/1147760083908964372/screenshot_-_2023-09-02T220812.419.png,2TDM,TBR,2,3,9,8,5,8,1,6,0,0,3rd September 2023,ASIA
,Beekeeper,Slade,10004882,https://cdn.discordapp.com/attachments/928174021592383489/1138137339810562118/WeQ1hzP.png,4TDM,TBR,,,,,,,,,,,,
,Commander,🌷|retnuH,11508414,https://imgur.com/a/JEjlMeV,4TDM,TBR,2,2,9,7,7,7,1,7,0,0,10th September 2023,EUROPE
,Predator,Mr.Hacker YT,10000379,https://cdn.discordapp.com/attachments/928174021592383489/1147380776699187220/screenshot_-_2023-09-01T210030.895.png,2TDM,TBR,,,,,,,,,,,,
,Predator,ExC,10000104,https://cdn.discordapp.com/attachments/928174021592383489/1148470403216462004/image.png,2TDM,TBR,2,2,4,8,6,8,6,6,0,0,5th September 2023,USA
,Battleship,ια,10000013,https://cdn.discordapp.com/attachments/887171000171642900/1089013948789031014/screenshot_-_2023-03-24T192312.161.png,2TDM,,,,,,,,,,,,,
,Basic,Rog456,9976326,https://cdn.discordapp.com/attachments/928174021592383489/1129933583176433704/EE8D1080-DE44-46C3-A8E8-62CDB194F7BD.png,2TDM,,2,3,4,8,5,8,6,6,0,0,16th July 2023,USA
,Carrier,Ussnub,9930000,https://cdn.discordapp.com/attachments/1125564247275999282/1125564937784275034/9.93_mil.png,2TDM,,,,,,,,,,,,,
,Auto Overseer,Nyrox,9900126,https://imgur.com/a/tqHAmsH,2TDM,,2,3,7,7,7,7,1,8,0,0,31th May 2022,EUROPE
,Auto Assassin,Harry,9787467,https://imgur.com/a/X6iIVv3,2TDM,,,,,,,,,,,,,
,Overlord,Jess,9770955,https://cdn.discordapp.com/attachments/928174021592383489/1146814825079517265/image.png,2TDM,,2,2,9,8,5,8,1,7,0,0,31st August 2023,USA
,Rifle,Para,9696999,https://imgur.com/gallery/NHaWUgK,4TDM,,,,,,,,,,,,,
,Spawner,Corrupt Y,9676123,https://cdn.discordapp.com/attachments/866023322529955870/1038164717597904946/Screenshot_711.png,2TDM,Legacy,4,4,3,7,7,7,2,7,0,2,4th November 2022,USA
,Auto Overseer,Despair,9639305,https://cdn.discordapp.com/attachments/1145412502625206422/1148621625818886214/image.png,2TDM,,,,jess 44m build,,,,,,,,,
,Landmine,crong,9617577,https://imgur.com/a/SDRZ7MI,Portal TDM,,4,12,,,,,2,12,12,0,3rd September 2020,USA
,Stalker,Ö.,9595755,https://cdn.discordapp.com/attachments/395646588682240020/1083082112195907615/screenshot_-_2023-03-08T184043.916.png,2TDM,TBR,,,,,,,,,,,,
,Auto-5,Stradpult,9586016,https://imgur.com/gallery/oH1wsYj,FFA,Legacy,2,2,5,7,7,7,5,7,0,0,27th July 2019,EUROPE
,Auto Assassin,Thing,9533746,https://imgur.com/a/3tyXdPH,4TDM,,,,,,,,,,,,,
,Assassin,Marcus,9482940,https://imgur.com/a/SFTFxTX,4TDM,,2,3,4,7,7,7,4,8,0,0,18th March 2023,EUROPE
,Flank Guard,Ö.,9445629,https://cdn.discordapp.com/attachments/1066451260611506236/1098356746847789136/screenshot_-_2023-04-19T225209.608.png,4TDM,,,,,,,,,,,,,
,Poacher,Rog456,9424047,https://cdn.discordapp.com/attachments/928174021592383489/1138561175936848005/0B9F2B52-9F0D-4299-BA24-E0BD9829D665.png,2TDM,,2,2,5,8,5,8,6,6,0,0,8th August 2023,USA
,Hybrid,Smiley,9421794,https://imgur.com/a/YRsldB4,4TDM,,,,,,,,,,,,,
,Trap Guard,pedal,9352891,https://imgur.com/a/3AK5MJI,4TDM,,9,9,0,0,0,0,9,9,6,0,February 10th 2020,USA
,Artillery,Endless,9340186,https://imgur.com/gallery/FHxsqvn,FFA,Legacy,,,,,,,,,,,,
,Auto Overseer,byekc,9197040,https://cdn.discordapp.com/attachments/1062306642898735186/1144981230048264312/image.png,2TDM,,2,3,9,7,7,7,1,6,0,0,26th August 2023,EUROPE
,Manager,OnyxD,9166223,https://imgur.com/a/r9Aq35B,2TDM,,,,,,,,,,,,,
,Surfer,ExC,9101585,https://imgur.com/a/gMCl59z,Open TDM,Legacy,2,2,2,7,8,8,8,5,0,0,23rd April 2021,USA
,Auto Spawner,safuez,9068051,https://cdn.discordapp.com/attachments/928174021592383489/1137072081096425483/safuez.png,2TDM,Legacy,,,,,,,,,,,,
,Hexa Tank,Mr.Hacker YT,9028737,https://cdn.discordapp.com/attachments/928174021592383489/1144948480629018687/screenshot_-_2023-08-26T035047.271.png,2TDM,,2,2,4,8,6,8,7,5,0,0,26th August 2023,USA
,Overtrapper,Ö.,8893606,https://imgur.com/a/gHsKWpQ,2TDM,,,,,,,,,,,,,
,Hexa Tank,Marcus,8890000,https://cdn.discordapp.com/attachments/559793341143711767/1144659755747512380/image.png,2TDM,TBR,2,2,4,8,6,8,7,5,0,0,/,EUROPE
,Ranger,ascending,8859683,https://imgur.com/a/IxcjRdj,2TDM,,,,,,,,,,,,,
,Falcon,Quad,8858460,https://imgur.com/a/RKECd8Y,2TDM,,7,8,3,3,4,3,3,9,0,0,19th October 2022,USA
,Streamliner,ια,8766383,https://imgur.com/a/QOBnWh5,4TDM,,,,,,,,,,,,,
