,Players with most 5 Mils,,,,Players with highest total score,,,,Players with best average score,,,,Tanks with most 5 Mils,,,,Tanks with highest total score,,,,Tanks with highest average score,,,,Most Frequent Players in Top 250,,,,Most Frequent Tanks in Top 250,,,,Most Frequent Players in Top Tanks,,,,Most #1 Spots in Top Tanks,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#,Name,Count,,#,Name,Total,,#,Name,Average,,#,Tank,count Tank,,#,Tank,Total,,#,,Total,,#,Name,Count,,#,Tank,Count,,#,Name,Count,,#,Name,Count
,33,Stradpult,6,,35,pedal,39695195,,35,Corrupt X,6712918.571428572,,29,Stalker,8,,35,Stalker,50748924,,35,Penta Shot,6844352.75,,32,Lamp,2,,31,Bomber,2,,35,Corrupt X,9,,24,Sprunk,1
,33,Vangu,6,,36,Thx m8,37872927,,36,safuez,6643016.5,,36,Bent Hybrid,7,,36,Crossbow,49774336,,36,Streamliner,6829099.785714285,,32,Mine,2,,31,Falcon,2,,36,Crazoodles,8,,24,Sunburst,1
,33,ascending,6,,37,Allan,37831096,,37,Nyrox,6637996.625,,36,Falcon,7,,37,Falcon,48656653,,37,Artillery,6806075.5,,32,Salla,2,,31,Fortress,2,,36,Ender,8,,24,TJL,1
,33,pedal,6,,38,Vangu,36842284,,38,Ender,6595014,,36,Overgunner,7,,38,Mortar,48590163,,38,Assassin,6714821.25,,32,Templar,2,,31,Machine Gun,2,,36,ThunderFlame,8,,24,Templar,1
,39,Thx m8,5,,39,Stradpult,33796677,,39,cyan,6591148.75,,39,Artillery,6,,39,Destroyer,48579003,,39,Overdrive,6610808.823529412,,32,Ussnub,2,,31,Mega Smasher,2,,36,WL9,8,,24,Thing,1
,39,🎋,5,,40,🎋,32766529,,40,🎋,6553305.8,,39,Auto Builder,6,,40,Bushwhacker,47617771,,40,Auto Double,6569970.166666667,,32,pedal,2,,31,Mortar,2,,36,jax,8,,24,ThunderFlame,1
,41,Anto,4,,41,Awootube,32261352,,41,Lamp,6546411,,39,Auto-5,6,,41,Auto Builder,42551861,,41,Auto Spawner,6541409.318181818,,32,safuez,2,,31,Overtrapper,2,,36,pedal,8,,24,Tophat el LaTaTa,1
,41,Awootube,4,,42,Zeph,28742829,,42,Smiley,6492474.411764706,,39,Booster,6,,42,Bent Hybrid,42066349,,42,Surfer,6500159.533333333,,42,ASkib,1,,31,Single,2,,36,zo,8,,24,Ussnub,1
,41,Darky,4,,43,Salla,27965251,,43,lamita,6439484,,39,Hunter,6,,43,Artillery,40836453,,43,Bomber,6384631,,42,Anto,1,,31,Sniper,2,,43,8,7,,24,Vangu,1
,41,Salla,4,,44,Templar,27842135,,44,Jackson,6344095.25,,44,Auto Cruiser,5,,44,Single,40191120,,44,Overtrapper,6377608.777777778,,42,Askatasuna,1,,31,Spreadshot,2,,43,Aero,7,,24,ascending,1
,41,Templar,4,,45,cyan,26364595,,45,Stradpult,6341127.45,,44,Auto Gunner,5,,45,Battleship,38245663,,45,Landmine,6372027.3125,,42,Damocles,1,,31,Stalker,2,,43,Athu,7,,24,bum,1
,41,Zeph,4,,46,ねこきん,26053250,,46,Askatasuna,6319231.75,,44,Battleship,5,,46,Auto-5,37976073,,46,Bent Double,6358362.625,,42,Despair,1,,46,Armsman,1,,43,Denied,7,,24,crong,1
,41,cyan,4,,47,Anto,23183538,,47,Ussnub,6311028.375,,44,Bomber,5,,47,Hunter,37728367,,47,Auto Smasher,6355968.333333333,,42,Endless,1,,46,Artillery,1,,43,Vangu,7,,24,cyan,1
,48,132,3,,48,Drokert el LaTaTa,22463008,,48,Mine,6296333.222222222,,44,Bushwhacker,5,,48,Spreadshot,36344922,,48,Musket,6344070.333333333,,42,Heatherly,1,,46,Assassin,1,,43,asd,7,,24,ejv,1
,48,<❂> ₭ǿrɇa,3,,49,ASkib,22130645,,49,Allan,6272936,,44,Commander,5,,49,Auto Cruiser,35981570,,49,Stalker,6343615.5,,42,Stormy,1,,46,Auto Double,1,,43,🥕Crazy Carrot🥕,7,,24,jugg,1
