CellImage,,Top 250 Arras Scores of All Time       ,,,,,,,,,,,,,,,,,,
,Rank,Score,Name,Tank,,Gamemode,Info,Proof,working on it...,,,,,,,,,,Date,Server
,53,10471679,OnyxD,CellImage,Overlord,2TDM,,https://imgur.com/a/iOWO8A8,2,2,9,7,7,7,1,7,0,0,15th April 2023,USA
,54,10441465,ια,CellImage,Auto Assassin,4TDM,,https://cdn.discordapp.com/attachments/928174021592383489/1134341691927691334/Untitled_design_70.png,2,2,4,7,7,7,5,8,0,0,28th July 2023,USA
,55,10440114,noscore,CellImage,Auto Overseer,2TDM,,https://cdn.discordapp.com/attachments/866023322529955870/1107253745466757151/screenshot_-_2023-05-14T152604.008.png,2,2,9,7,6,8,1,7,0,0,14th May 2023,ASIA
,56,10342688,Tophat el LaTaTa,CellImage,Swarmer,2TDM,,https://cdn.discordapp.com/attachments/962519532872818719/1144124899628154930/Screenshot_2023-08-16_10.18.29_PM.png,2,3,4,7,5,8,5,8,0,0,17th August 2023,USA
,57,10334542,Slade,CellImage,Auto Cruiser,4TDM,,https://cdn.discordapp.com/attachments/1093983574065156216/1106673417345835109/unknown.png,2,2,5,7,7,7,6,6,0,0,26th September 2022,USA
,58,10312388,Skrialik,CellImage,Overgunner,2TDM,,https://cdn.discordapp.com/attachments/1066451260611506236/1102003416068276355/screenshot_-_2023-04-29T184128.645.png,2,3,7,7,6,8,3,6,0,0,29th April 2023,EUROPE
,59,10306354,Skrialik,CellImage,Bushwhacker,4TDM,,https://imgur.com/a/MIQdcL5,1,2,4,7,8,7,7,6,0,0,4th March 2021,USA
,60,10279160,ASkib,CellImage,Overlord,2TDM,,https://imgur.com/a/D5h8xQi,2,3,7,7,8,7,1,7,0,0,7th June 2022,ASIA
,61,10261698,ια,CellImage,Auto Builder,2TDM,,https://imgur.com/a/bfBLciK,3,4,6,5,6,6,3,9,0,0,2nd January 2023,USA
,62,10240666,byekc,CellImage,Overseer,2TDM,,https://cdn.discordapp.com/attachments/1044131085463851028/1076534086354620416/image.png,2,3,9,7,7,7,1,6,0,0,18th February 2023,EUROPE
,63,10220360,ια,CellImage,Overlord,2TDM,,https://www.youtube.com/watch?v=hJLJHmGx9hQ,3,3,7,7,7,7,1,7,0,0,/,USA
,64,10216461,Chris3773,CellImage,Penta Shot,2TDM,TBR,https://cdn.discordapp.com/attachments/928174021592383489/1137346623836540999/screenshot_-_2023-08-04T180103.942.png,2,2,4,7,7,7,8,5,0,0,4th August 2023,USA
,65,10191662,Corrupt X,CellImage,Overgunner,4TDM,,https://ibb.co/album/S4pcLJ,4,4,6,6,6,6,5,4,1,0,17th February 2021,EUROPE
,66,10176264,Rog456,CellImage,Penta Shot,4TDM,,https://imgur.com/a/KYyLnDz,2,3,4,7,7,7,7,5,0,0,20th January 2023,USA
,67,10147081,Slade,CellImage,Auto Spawner,Maze 2TDM,TBR,https://cdn.discordapp.com/attachments/928174021592383489/1141208541294768208/screenshot_-_2023-08-15T231358.256.png,2,3,4,8,5,8,6,6,0,0,16th August 2023,USA
,68,10143869,Lamp,CellImage,Auto Overseer,2TDM,,https://imgur.com/a/ODpToNM,2,2,9,7,7,7,1,7,0,0,22nd March 2023,USA
,69,10128996,ZeZo,CellImage,Overlord,4TDM,,https://imgur.com/a/BGPFnww,1,4,7,7,7,7,0,7,2,0,11th June 2020,EUROPE
,70,10115816,Thing,CellImage,Hybrid,2TDM,,https://imgur.com/a/TXNseEF,2,2,8,7,6,6,2,8,1,0,6th June 2020,USA
